date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:56:57	70/70	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	date:Mon,%2017%20Sep%202018%2023:56:58%20GMT	http://actscommunitybaptistchurch.org/robots.txt		(from )
18:56:58	32561/32561	---MCZ	200	added ('OK')	text/html	date:Mon,%2017%20Sep%202018%2023:56:58%20GMT	http://actscommunitybaptistchurch.org/	actscommunitybaptistchurch.org/index.html	(from )
18:56:58	73643/73643	---MCZ	200	added ('OK')	text/css	date:Tue,%2011%20Sep%202018%2020:52:53%20GMT	http://actscommunitybaptistchurch.org/wp-content/themes/hestia/assets/bootstrap/css/bootstrap.min.css?ver=1.0.2	actscommunitybaptistchurch.org/wp-content/themes/hestia/assets/bootstrap/css/bootstrap.min20b9.css	(from http://actscommunitybaptistchurch.org/)
18:56:59	3712/3712	---MCZ	200	added ('OK')	text/css	date:Tue,%2011%20Sep%202018%2020:52:53%20GMT	http://actscommunitybaptistchurch.org/wp-content/themes/hestia/assets/css/font-sizes.min.css?ver=2.0.4	actscommunitybaptistchurch.org/wp-content/themes/hestia/assets/css/font-sizes.min1c12.css	(from http://actscommunitybaptistchurch.org/)
18:57:00	502/502	---MCZ	200	added ('OK')	text/css	date:Wed,%2012%20Sep%202018%2021:32:10%20GMT	http://actscommunitybaptistchurch.org/wp-content/plugins/themeisle-companion/obfx_modules/companion-legacy/assets/css/hestia/clients-bar.css?ver=4.9.8	actscommunitybaptistchurch.org/wp-content/plugins/themeisle-companion/obfx_modules/companion-legacy/assets/css/hestia/clients-bar5010.css	(from http://actscommunitybaptistchurch.org/)
18:57:01	760/760	---MC-	200	added ('OK')	application/rss+xml	etag:%22864492221fce8e2a08e417a2796da268%22	http://actscommunitybaptistchurch.org/index.php/comments/feed/	actscommunitybaptistchurch.org/index.php/comments/feed/index.html	(from http://actscommunitybaptistchurch.org/)
18:57:03	46360/46360	---MCZ	200	added ('OK')	text/css	date:Thu,%2016%20Nov%202017%2015:36:06%20GMT	http://actscommunitybaptistchurch.org/wp-includes/css/dashicons.min.css?ver=4.9.8	actscommunitybaptistchurch.org/wp-includes/css/dashicons.min5010.css	(from http://actscommunitybaptistchurch.org/)
18:57:03	139/139	---MCZ	200	added ('OK')	text/css	date:Wed,%2012%20Sep%202018%2021:32:10%20GMT	http://actscommunitybaptistchurch.org/wp-content/plugins/themeisle-companion/obfx_modules/menu-icons/css/public.css?ver=2.5.8	actscommunitybaptistchurch.org/wp-content/plugins/themeisle-companion/obfx_modules/menu-icons/css/publiced42.css	(from http://actscommunitybaptistchurch.org/)
18:57:03	31000/31000	---MCZ	200	added ('OK')	text/css	date:Mon,%2017%20Sep%202018%2020:44:10%20GMT	http://actscommunitybaptistchurch.org/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css?ver=4.7.0	actscommunitybaptistchurch.org/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min1849.css	(from http://actscommunitybaptistchurch.org/)
18:57:03	2681/2681	---MC-	200	added ('OK')	application/rss+xml	etag:%22a5de5347a9ad281fcb066c9ffec1b836%22	http://actscommunitybaptistchurch.org/index.php/feed/	actscommunitybaptistchurch.org/index.php/feed/index.html	(from http://actscommunitybaptistchurch.org/)
